origin_country,destination_country,year,migrant_stock,corridor
Pakistan,Saudi Arabia,1990,600000,Pakistan → Saudi Arabia
Pakistan,Saudi Arabia,2000,900000,Pakistan → Saudi Arabia
Pakistan,Saudi Arabia,2005,1300000,Pakistan → Saudi Arabia
Pakistan,Saudi Arabia,2010,1800000,Pakistan → Saudi Arabia
Pakistan,Saudi Arabia,2015,2200000,Pakistan → Saudi Arabia
Pakistan,Saudi Arabia,2024,2700000,Pakistan → Saudi Arabia
Pakistan,UAE,1990,200000,Pakistan → UAE
Pakistan,UAE,2000,450000,Pakistan → UAE
Pakistan,UAE,2005,700000,Pakistan → UAE
Pakistan,UAE,2010,1000000,Pakistan → UAE
Pakistan,UAE,2015,1300000,Pakistan → UAE
Pakistan,UAE,2024,1600000,Pakistan → UAE
Pakistan,United Kingdom,1990,350000,Pakistan → United Kingdom
Pakistan,United Kingdom,2000,500000,Pakistan → United Kingdom
Pakistan,United Kingdom,2005,800000,Pakistan → United Kingdom
Pakistan,United Kingdom,2010,1100000,Pakistan → United Kingdom
Pakistan,United Kingdom,2015,1400000,Pakistan → United Kingdom
Pakistan,United Kingdom,2024,1662000,Pakistan → United Kingdom
Pakistan,United States,1990,50000,Pakistan → United States
Pakistan,United States,2000,120000,Pakistan → United States
Pakistan,United States,2005,250000,Pakistan → United States
Pakistan,United States,2010,400000,Pakistan → United States
Pakistan,United States,2015,550000,Pakistan → United States
Pakistan,United States,2024,684000,Pakistan → United States
Pakistan,Canada,1990,15000,Pakistan → Canada
Pakistan,Canada,2000,40000,Pakistan → Canada
Pakistan,Canada,2005,80000,Pakistan → Canada
Pakistan,Canada,2010,150000,Pakistan → Canada
Pakistan,Canada,2015,230000,Pakistan → Canada
Pakistan,Canada,2024,303000,Pakistan → Canada
India,UAE,1990,450000,India → UAE
India,UAE,2000,900000,India → UAE
India,UAE,2005,1500000,India → UAE
India,UAE,2010,2500000,India → UAE
India,UAE,2015,3200000,India → UAE
India,UAE,2024,3500000,India → UAE
India,United States,1990,500000,India → United States
India,United States,2000,1200000,India → United States
India,United States,2005,2000000,India → United States
India,United States,2010,3200000,India → United States
India,United States,2015,4200000,India → United States
India,United States,2024,4900000,India → United States
India,Saudi Arabia,1990,600000,India → Saudi Arabia
India,Saudi Arabia,2000,1000000,India → Saudi Arabia
India,Saudi Arabia,2005,1500000,India → Saudi Arabia
India,Saudi Arabia,2010,2000000,India → Saudi Arabia
India,Saudi Arabia,2015,2400000,India → Saudi Arabia
India,Saudi Arabia,2024,2600000,India → Saudi Arabia
