year,workers_emigrated,top_destination,skilled_pct,semi_skilled_pct,unskilled_pct,skilled_workers,semi_skilled_workers,unskilled_workers
1981,137736,Saudi Arabia,32,36,32,44075,49584,44077
1982,140706,Saudi Arabia,28,26,46,39397,36583,64726
1983,125800,Saudi Arabia,36,30,34,45288,37740,42772
1984,113760,Saudi Arabia,34,31,35,38678,35265,39817
1985,85603,Saudi Arabia,42,29,29,35953,24824,24826
1986,65643,Saudi Arabia,36,28,36,23631,18380,23632
1987,64054,Saudi Arabia,30,26,44,19216,16654,28184
1988,84880,Saudi Arabia,27,21,52,22917,17824,44139
1989,96000,Saudi Arabia,38,32,30,36480,30720,28800
1990,109900,Saudi Arabia,33,20,47,36267,21980,51653
1991,143470,Saudi Arabia,34,32,34,48779,45910,48781
1992,195600,Saudi Arabia,31,33,36,60636,64548,70416
1993,153800,Saudi Arabia,25,25,50,38450,38450,76900
1994,119000,Saudi Arabia,39,32,29,46410,38080,34510
1995,122600,Saudi Arabia,37,32,31,45362,39232,38006
1996,149000,Saudi Arabia,36,32,32,53640,47680,47680
1997,154000,Saudi Arabia,38,28,34,58520,43120,52360
1998,145000,Saudi Arabia,28,31,41,40600,44950,59450
1999,192000,Saudi Arabia,44,30,26,84480,57600,49920
2000,223000,Saudi Arabia,33,26,41,73590,57980,91430
2001,287033,Saudi Arabia,36,27,37,103331,77498,106204
2002,363316,Saudi Arabia,38,32,30,138060,116261,108995
2003,214096,Saudi Arabia,21,27,52,44960,57805,111331
2004,260753,Saudi Arabia,43,31,26,112123,80833,67797
2005,362503,Saudi Arabia,35,30,35,126876,108750,126877
2006,375159,Saudi Arabia,26,29,45,97541,108796,168822
2007,351000,Saudi Arabia,33,30,37,115830,105300,129870
2008,430000,UAE,48,31,21,206400,133300,90300
2009,403528,UAE,33,30,37,133164,121058,149306
2010,362904,Saudi Arabia,27,30,43,97984,108871,156049
2011,456893,Saudi Arabia,34,32,34,155343,146205,155345
2012,638587,Saudi Arabia,36,29,35,229891,185190,223506
2013,622714,Saudi Arabia,31,30,39,193041,186814,242859
2014,752466,Saudi Arabia,31,29,40,233264,218215,300987
2015,946571,Saudi Arabia,40,31,29,378628,293437,274506
2016,839853,Saudi Arabia,39,29,32,327542,243557,268754
2017,471081,Saudi Arabia,34,32,34,160167,150745,160169
2018,496023,Saudi Arabia,34,34,32,168647,168647,158729
2019,625203,Saudi Arabia,35,24,41,218821,150048,256334
2020,625000,Saudi Arabia,32,35,33,200000,218750,206250
2021,285000,Saudi Arabia,34,34,32,96900,96900,91200
2022,800000,Saudi Arabia,35,26,39,280000,208000,312000
2023,860000,Saudi Arabia,42,39,19,361200,335400,163400
2024,850000,Saudi Arabia,29,30,41,246500,255000,348500
2025,475000,Saudi Arabia,39,32,29,185250,152000,137750
