year,country,remittances_usd_billion,remittance_pct_gdp
2003,Pakistan,4.23,1.24
2003,India,21.6,0.62
2003,Bangladesh,3.06,0.68
2003,Sri Lanka,1.43,1.91
2003,Nepal,0.77,1.93
2004,Pakistan,3.87,1.14
2004,India,18.8,0.54
2004,Bangladesh,3.57,0.79
2004,Sri Lanka,1.59,2.12
2004,Nepal,0.82,2.05
2005,Pakistan,4.17,1.23
2005,India,22.0,0.63
2005,Bangladesh,4.25,0.94
2005,Sri Lanka,1.99,2.65
2005,Nepal,1.21,3.02
2006,Pakistan,4.61,1.36
2006,India,28.3,0.81
2006,Bangladesh,5.43,1.21
2006,Sri Lanka,2.34,3.12
2006,Nepal,1.45,3.62
2007,Pakistan,6.51,1.91
2007,India,37.2,1.06
2007,Bangladesh,6.56,1.46
2007,Sri Lanka,2.65,3.53
2007,Nepal,1.73,4.32
2008,Pakistan,7.81,2.3
2008,India,49.9,1.43
2008,Bangladesh,8.99,2.0
2008,Sri Lanka,2.95,3.93
2008,Nepal,2.73,6.83
2009,Pakistan,8.91,2.62
2009,India,49.2,1.41
2009,Bangladesh,10.72,2.38
2009,Sri Lanka,3.33,4.44
2009,Nepal,2.98,7.45
2010,Pakistan,9.32,2.74
2010,India,53.5,1.53
2010,Bangladesh,10.85,2.41
2010,Sri Lanka,4.12,5.49
2010,Nepal,3.47,8.68
2011,Pakistan,11.21,3.3
2011,India,62.5,1.79
2011,Bangladesh,11.65,2.59
2011,Sri Lanka,5.15,6.87
2011,Nepal,4.22,10.55
2012,Pakistan,13.19,3.88
2012,India,68.8,1.97
2012,Bangladesh,12.84,2.85
2012,Sri Lanka,5.99,7.99
2012,Nepal,4.79,11.97
2013,Pakistan,13.9,4.09
2013,India,69.9,2.0
2013,Bangladesh,14.46,3.21
2013,Sri Lanka,6.43,8.57
2013,Nepal,5.55,13.87
2014,Pakistan,15.8,4.65
2014,India,70.4,2.01
2014,Bangladesh,14.93,3.32
2014,Sri Lanka,7.02,9.36
2014,Nepal,5.77,14.42
2015,Pakistan,18.72,5.51
2015,India,68.9,1.97
2015,Bangladesh,15.31,3.4
2015,Sri Lanka,7.2,9.6
2015,Nepal,6.73,16.83
2016,Pakistan,19.92,5.86
2016,India,62.7,1.79
2016,Bangladesh,13.6,3.02
2016,Sri Lanka,7.26,9.68
2016,Nepal,6.28,15.7
2017,Pakistan,22.3,6.56
2017,India,69.0,1.97
2017,Bangladesh,13.53,3.01
2017,Sri Lanka,7.12,9.49
2017,Nepal,6.93,17.32
2018,Pakistan,19.9,5.85
2018,India,79.0,2.26
2018,Bangladesh,15.5,3.44
2018,Sri Lanka,6.72,8.96
2018,Nepal,7.21,18.02
2019,Pakistan,21.7,6.38
2019,India,83.1,2.37
2019,Bangladesh,18.2,4.04
2019,Sri Lanka,6.7,8.93
2019,Nepal,8.06,20.15
2020,Pakistan,23.1,6.79
2020,India,83.1,2.37
2020,Bangladesh,21.74,4.83
2020,Sri Lanka,7.1,9.47
2020,Nepal,8.15,20.38
2021,Pakistan,29.4,8.65
2021,India,89.4,2.55
2021,Bangladesh,22.07,4.9
2021,Sri Lanka,5.49,7.32
2021,Nepal,8.59,21.48
2022,Pakistan,31.2,9.18
2022,India,100.0,2.86
2022,Bangladesh,21.03,4.67
2022,Sri Lanka,3.79,5.05
2022,Nepal,8.59,21.48
2023,Pakistan,27.0,7.94
2023,India,107.0,3.06
2023,Bangladesh,18.5,4.11
2023,Sri Lanka,5.97,7.96
2023,Nepal,8.2,20.5
2024,Pakistan,28.5,8.38
2024,India,115.0,3.29
2024,Bangladesh,22.0,4.89
2024,Sri Lanka,6.2,8.27
2024,Nepal,9.1,22.75
2025,Pakistan,30.0,8.82
2025,India,120.0,3.43
2025,Bangladesh,25.0,5.56
2025,Sri Lanka,6.5,8.67
2025,Nepal,10.0,25.0
2026,Pakistan,33.0,9.71
2026,India,125.0,3.57
2026,Bangladesh,30.0,6.67
2026,Sri Lanka,7.0,9.33
2026,Nepal,11.0,27.5
